score,time,action
0-0,,Inicio del juego
0-0,,Inicio del período
0-0,,Salto inicio de juego
0-0,P1 09:59:00,"10, RAPHAELLA MARCIANO DA SILVA, Salto ganado"
0-0,P1 09:59:00,"6, ANA CLARA PAZ, Salto perdido"
0-0,P1 09:45:00,"10, RAPHAELLA MARCIANO DA SILVA, Pérdida manejo de balón"
0-0,P1 09:45:00,"3, SOFIA BERGDAHL, Recupero"
0-0,P1 09:40:00,"6, ANA CLARA PAZ, 2pt bandeja"
0-0,P1 09:36:00,"21, NATASHA DOLINSKY, Rebote ofensivo"
0-0,P1 09:36:00,"15, FLORENCIA SOMMA, Falta personal"
0-0,P1 09:36:00,"21, NATASHA DOLINSKY, Falta recibida"
0-0,P1 09:36:00,"21, NATASHA DOLINSKY, Lanzamiento libre 1 de 2"
0-0,P1 09:36:00,"21, NATASHA DOLINSKY, Lanzamiento libre 2 de 2"
0-0,P1 09:36:00,"10, RAPHAELLA MARCIANO DA SILVA, Rebote defensivo"
0-0,P1 09:20:00,"10, RAPHAELLA MARCIANO DA SILVA, 2pt bandeja"
0-0,P1 09:18:00,"21, NATASHA DOLINSKY, Rebote defensivo"
0-0,P1 09:12:00,"3, SOFIA BERGDAHL, 3pt"
0-0,P1 09:09:00,"15, FLORENCIA SOMMA, Rebote defensivo"
0-0,P1 09:00:00,"11, SABINA BELLO, 2pt jumpshot"
0-0,P1 08:58:00,"3, SOFIA BERGDAHL, Rebote defensivo"
2-0,,"6, ANA CLARA PAZ, 2p jumpshot con giro  convertido"
2-0,P1 08:16:00,"5, FIORELLA MARTINELLI, Pérdida mal pase"
2-0,P1 08:16:00,"3, SOFIA BERGDAHL, Recupero"
2-0,P1 07:58:00,"6, ANA CLARA PAZ, 3pt"
2-0,P1 07:55:00,"10, RAPHAELLA MARCIANO DA SILVA, Rebote defensivo"
2-0,P1 07:39:00,"10, RAPHAELLA MARCIANO DA SILVA, Pérdida manejo de balón"
2-0,P1 07:39:00,"30, ABRIL MIERES, Recupero"
2-0,P1 07:19:00,"21, NATASHA DOLINSKY, 2pt jumpshot"
2-0,P1 07:18:00,"11, SABINA BELLO, Rebote defensivo"
2-0,P1 07:08:00,"30, ABRIL MIERES, Falta personal"
2-0,P1 07:08:00,"10, RAPHAELLA MARCIANO DA SILVA, Falta recibida"
2-0,P1 07:08:00,"10, RAPHAELLA MARCIANO DA SILVA, Lanzamiento libre 1 de 2"
2-0,P1 07:08:00,"10, RAPHAELLA MARCIANO DA SILVA, Lanzamiento libre 2 de 2"
2-0,P1 07:08:00,"9, JOAQUINA GREGORIO, Rebote defensivo"
4-0,,"6, ANA CLARA PAZ, 2pt bandeja  convertido"
4-0,P1 06:36:00,"5, FIORELLA MARTINELLI, 3pt"
4-0,P1 06:33:00,"21, NATASHA DOLINSKY, Rebote defensivo"
6-0,,"9, JOAQUINA GREGORIO, 2pt jumpshot  convertido"
6-0,P1 05:57:00,"5, FIORELLA MARTINELLI, 3pt"
6-0,P1 05:55:00,"6, ANA CLARA PAZ, Rebote defensivo"
9-0,,"21, NATASHA DOLINSKY, 3pt  convertido"
9-0,P1 05:42:00,Tiempo muerto completo
9-0,P1 05:42:00,"5, FIORELLA MARTINELLI, Sustitución (sale)"
